year,decile,Total,Percent,Value per person
2012,5,68258348371.40041,0.015336490097745216,3632888.8376922887
2012,6,391323330998.27313,0.0879236977463444,20826148.536363658
2012,7,575429325503.1914,0.12928918385944307,30624232.33119699
2012,8,736436559044.1633,0.1654647711946484,39195090.69371246
2012,9,1012843239721.191,0.2275686518524172,53903312.385374725
2012,10,1665928938889.9375,0.37430590227316013,88665119.9579508
2013,1,1514040.330614113,3.3626455142813234e-7,79.02089408215622
2013,2,9084241.98368468,2.017587308568794e-6,474.1006202016951
2013,3,56019492.232722186,1.2441788402840896e-5,2923.620491243786
2013,4,340659074.3881754,7.565952407132978e-5,17778.773257563564
2013,5,45023017311.47188,0.00999949896581837,2349844.327321079
2013,6,377086884742.75104,0.08375004917869064,19679916.744572364
2013,7,582097029749.8855,0.1292822870293683,30379261.50774414
2013,8,750137337964.0848,0.1666036170632739,39149174.780235104
2013,9,1030811648493.6597,0.2289406758715725,53797382.62583684
2013,10,1716964128045.6614,0.38133341672694204,89611906.47419944
2014,1,0,0,0
2014,2,8902150.899341075,1.8635120306783773e-6,453.40485379143706
2014,3,50445521.76293276,1.0559901507177472e-5,2569.2941714848102
2014,4,280417753.3292439,5.870062896636889e-5,14282.252894430268
2014,5,27273222971.947945,0.005709179691321656,1389081.3370656995
2014,6,374860672220.3534,0.07847062809983579,19091452.621357445
2014,7,618436874052.6742,0.1294591125272422,31498261.89531803
2014,8,804221795938.2894,0.16834998743682306,40960670.05899406
2014,9,1100862235589.7656,0.23044655649376483,56069177.73198358
2014,10,1851088035248.1018,0.3874934117085082,94279720.65030569
2015,1,0,0,0
2015,2,10218821.590119995,2.000623051178796e-6,506.25819123705696
2015,3,43794949.67194284,8.574098790766269e-6,2169.67796244453
2015,4,313863805.98225695,6.144770800049159e-5,15549.358730852462
2015,5,15639176527.850786,0.0030618106781826345,774792.0003889416
2015,6,369197265061.101,0.07228079601933174,18289768.406871147
2015,7,660617619168.1431,0.12933456419284864,32728145.61150077
2015,8,869287415870.0491,0.17018757270121268,43066010.19916022
2015,9,1189733602787.999,0.2329239677499564,58941471.5277681
2015,10,2002976621562.863,0.39213926622862555,99230944.83838806
2016,1,0,0,0
2016,2,11483692.288057178,2.0855106281531946e-6,550.5125737323672
2016,3,38757461.47219297,7.038598370017031e-6,1857.8908715877942
2016,4,255512153.4092722,4.640261147640858e-5,12248.904765545167
2016,5,8312757755.01739,0.0015096490059543937,398483.186569071
2016,6,358101718464.631,0.06503352067301514,17166908.84298327
2016,7,714947408085.2557,0.12983893862107604,34271962.42199586
2016,8,952958414447.5288,0.17306323190017914,45683528.9763916
2016,9,1297350039781.7556,0.2356069135720079,62190213.30625357
2016,10,2174441441128.2344,0.3948922195072929,104239762.27843885
2017,1,0,0,0
2017,2,11284933.998055998,1.7740503009787212e-6,524.0032502812035
2017,3,36676035.493682,5.7656634781808445e-6,1703.0105634139115
2017,4,238394230.70893297,3.747681260817548e-5,11069.568662190424
2017,5,4581683203.210735,7.202644221973608e-4,212745.3196141686
2017,6,359380008102.0913,0.05649640588496836,16687407.508455206
2017,7,813705808396.8268,0.12791878397722117,37783516.36315132
2017,8,1100285296660.7092,0.17297056961428822,51090513.4036362
2017,9,1509354279772.9907,0.23727834073075346,70085172.72348583
2017,10,2573519323939.4224,0.40457061884418405,119504031.75943452
2018,1,0,0,0
2018,2,12364089.41004031,1.7395156492626193e-6,556.615018684568
2018,3,42587419.07902773,5.991665014126799e-6,1917.2295088024007
2018,4,215684670.81959203,3.034488410380347e-5,9709.839770386352
2018,5,3453702308.537926,4.85904704694025e-4,155481.12855255598
2018,6,383606864248.1984,0.053970019254505446,17269475.723594222
2018,7,915872670624.1603,0.1288550082781617,41231381.20128575
2018,8,1233695710272.383,0.17356983788100708,55539355.79491213
2018,9,1686993451374.13,0.23734473373233958,75946222.9943785
2018,10,2883884015048.247,0.405736420084525,129834504.54926378
2019,1,0,0,0
2019,2,13335467.53931978,1.7706376225436166e-6,587.5172940047485
2019,3,44007042.879755266,5.843104154393934e-6,1938.8924915079203
2019,4,264042257.2785316,3.505862492636361e-5,11632.842421294017
2019,5,4115325282.634084,5.464187703169601e-4,181315.82511495284
2019,6,432774594506.79083,0.05746232570064573,19066639.9906067
2019,7,985128326438.6621,0.13080195896264007,43401547.556553975
2019,8,1315238490547.2458,0.17463285386237154,57947679.893697225
2019,9,1790919951861.798,0.23779220611355134,78902103.7916027
2019,10,3002951258481.9863,0.3987215642237711,132306087.08119956
2020,1,1296671.624067605,1.673699552184948e-7,57.16490870112441
2020,2,12966716.24067605,1.6736995521849478e-6,571.6490870112441
2020,3,70020267.69965068,9.03797758179872e-6,3086.7689869357555
2020,4,436978337.31078285,5.640367490863274e-5,19264.574232278927
2020,5,18187116199.17223,0.002347530991894608,801795.0094419711
2020,6,556313620216.9727,0.07180706662730124,24524493.925981868
2020,7,1028313761422.1975,0.13273123665643033,45334116.361248404
2020,8,1343633180276.4614,0.173431592886643,59232638.87658532
2020,9,1812726183700.5269,0.23398051947617224,79915627.72563271
2020,10,2987642935611.432,0.3856347706395608,131712865.82953896
2021,1,1241495.0217453693,1.511761275962799e-7,53.884332541031654
2021,2,17380930.30443517,2.116465786347919e-6,754.3806555744432
2021,3,65799236.15250458,8.012334762602835e-6,2855.8696246746777
2021,4,556189769.7419255,6.77269051631334e-5,24140.18097838218
2021,5,34285126520.52012,0.004174879939698866,1488069.72745313
2021,6,621674907653.9285,0.07570099236545438,26981246.805864695
2021,7,1079561860079.0338,0.13145762056938673,46855983.51037473
2021,8,1410651201448.2195,0.17177417733352823,61226180.6184123
2021,9,1900670528026.1384,0.2314435460719075,82494380.55669004
2021,10,3164758276177.23,0.3853707768381845,137359300.18130338
2022,1,1146223.1462231462,1.1959360657363001e-7,47.28058186788542
2022,2,13754677.754677754,1.4351232788835602e-6,567.366982414625
2022,3,53872487.872487865,5.62089950896061e-6,2222.1873477906142
2022,4,371376299.3762994,3.874832852985613e-5,15318.276661289367
2022,5,9458633402.633402,9.86886441445595e-4,390159.36157379043
2022,6,614879944559.9446,0.06415479431035809,25363195.337208454
2022,7,1228315647955.648,0.1281589006764334,50664727.27089787
2022,8,1650467340263.34,0.17220498679028817,68080160.88204183
2022,9,2245072889812.8896,0.23424440938757188,92607057.28717113
2022,10,3835683311157.311,0.40020409844897853,158218178.90349013
2023,1,0,0,0
2023,2,16866319.88378087,1.6565299114947129e-06,664.8659682978899
2023,3,56923829.60776044,5.590788451294656e-6,2243.834191641785
2023,4,298323032.94437414,2.929987280956273e-5,11759.816814268926
2023,5,4048970917.100145,3.976707118781995e-4,159609.38651451218
2023,6,534841544964.6188,0.05252959882469203,21082484.329875786
2023,7,1290866954740.1472,0.12678282737560626,50885641.54604806
2023,8,1769420319527.6252,0.17378406822004308,69747342.01299323
2023,9,2412398166137.1196,0.23693430150604453,95096111.87863134
2023,10,4169769608397.769,0.40953498617056355,164371239.6877077
