year,decile,Total,Percent,Value per person
2004,10,378019663073.5114,0.31706242043346844,23510147.588376854
2005,1,9745829342.819355,0.007500320737399955,585124.2400828144
2005,2,29391369544.39732,0.022619388329106177,1764505.5859036634
2005,3,33220454599.3524,0.02556622487145832,1994384.0186919854
2005,4,41050459068.72805,0.03159214045337465,2464604.8912540856
2005,5,70387970082.54663,0.05417007964156361,4225729.127846949
2005,6,95863055046.28996,0.07377552329540409,5755121.273115805
2005,7,139873168604.91632,0.10764539273061018,8397764.685693823
2005,8,194454942308.56937,0.14965113639728014,11674067.497662807
2005,9,269141336069.68576,0.20712925223776013,16157851.71817769
2005,10,416259759383.40857,0.3203505413060427,24991580.174316075
2006,1,10869612594.991503,0.007753214214054565,616995.6629954875
2006,2,32676156774.72451,0.023307660779300066,1854808.240604218
2006,3,36809061895.44788,0.026255631412779337,2089405.795280007
2006,4,47029527089.27865,0.03354581359016177,2669402.1506004455
2006,5,78212644841.33347,0.05578850068511591,4439612.013471844
2006,6,104827688288.92378,0.07477281418867354,5950371.135205982
2006,7,148931243573.71124,0.10623155374687238,8453356.997032084
2006,8,207924316841.41895,0.14831087627955472,11802481.514526818
2006,9,290171292568.48474,0.20697703532591452,16471095.67851988
2006,10,444497672320.73193,0.3170568997775731,25231178.538952827
2007,1,11615504867.702261,0.007670500909700856,638179.4883634009
2007,2,35208068931.14007,0.023250261425661424,1934402.9960518691
2007,3,41638244005.6561,0.027496539510030886,2287689.9074587165
2007,4,50718291940.061646,0.033492707281838015,2786566.229331446
2007,5,86814228461.56194,0.05732928753196043,4769750.478630951
2007,6,111372462945.44307,0.07354674532607185,6118693.711979072
2007,7,154944336110.5177,0.10232019052339533,8512957.316109978
2007,8,219660272509.94397,0.14505648607643906,12068582.633368714
2007,9,307563740592.66943,0.20310507196005778,16898178.15464367
2007,10,494773368002.3601,0.3267322094548444,27183856.271763097
2008,1,9764368534.61896,0.006694980157348743,519353.67983718734
2008,2,32187079223.206303,0.022069205597716357,1711987.6189142228
2008,3,42757698653.88261,0.029316995056743022,2274224.70367973
2008,4,51900624432.346535,0.03558588038710576,2760524.6759399255
2008,5,83902895515.65053,0.057528371510130204,4462682.59750282
2008,6,110864575354.5859,0.07601476014760149,5896424.601350171
2008,7,149627574984.4262,0.1025927730975423,7958490.239052508
2008,8,210002972689.436,0.14398941725266312,11169776.750674753
2008,9,298656046658.18005,0.20477476850240203,15885114.975702358
2008,10,468797325171.76306,0.3214328482907471,24934701.62075225
